Smote,Class,Accuracy_test,F1_Score_test,Precision_test,Recall_test
0.112142857143,SVC,0.9504322135901083,0.0,0.0,0.0
0.112142857143,XGBClassifier,0.9620308567676988,0.41876046901172526,0.7225433526011561,0.294811320754717
0.116428571429,AdaBoostClassifier,0.9456176824597877,0.27656477438136823,0.3612167300380228,0.2240566037735849
0.116428571429,LogisticRegression,0.9487908961593172,0.01680672268907563,0.07692307692307693,0.009433962264150943
0.116428571429,RandomForestClassifier,0.9567786409891673,0.31064572425828973,0.5973154362416108,0.2099056603773585
0.116428571429,SVC,0.9503227924280556,0.0043859649122807015,0.03125,0.0023584905660377358
0.116428571429,XGBClassifier,0.9615931721194879,0.3937823834196891,0.7354838709677419,0.2688679245283019
0.0864285714286,AdaBoostClassifier,0.951417004048583,0.26973684210526316,0.44565217391304346,0.19339622641509435
0.0864285714286,LogisticRegression,0.9478061057008426,0.008316008316008315,0.03508771929824561,0.0047169811320754715
0.0864285714286,RandomForestClassifier,0.957325746799431,0.28308823529411764,0.6416666666666667,0.18160377358490565
0.0864285714286,SVC,0.9506510559142138,0.0,0.0,0.0
0.0864285714286,XGBClassifier,0.9619214356056461,0.3555555555555555,0.8275862068965517,0.22641509433962265
0.0992857142857,AdaBoostClassifier,0.9502133712660028,0.2673107890499195,0.4213197969543147,0.1957547169811321
0.0992857142857,LogisticRegression,0.9457271036218404,0.015873015873015872,0.05,0.009433962264150943
0.0992857142857,RandomForestClassifier,0.9563409563409564,0.28108108108108104,0.5954198473282443,0.18396226415094338
0.0992857142857,SVC,0.950541634752161,0.0,0.0,0.0
0.0992857142857,XGBClassifier,0.9629062260641208,0.3978685612788632,0.8057553956834532,0.2641509433962264
